"","date","ECA.TO.csv","SU.TO.csv","HSE.TO.csv"
"2095","2015-03-23",0.0078683268940713,0.00811419666168504,0.0208736359544531
"2096","2015-03-24",0.00991510846153563,0.00639419342941556,0.00881223061316051
"2097","2015-03-25",0.00212007290788147,0.00525438873772773,-0.00578029895242421
"2098","2015-03-26",-0.00568586896923784,0.0106703115342083,-0.00855037888656631
"2099","2015-03-27",-0.0217863879872288,0.00218405547403308,-0.00507811301383975
"2100","2015-03-30",0.00935246376626143,0.00650928702033839,0.0262457496496631
"2101","2015-03-31",0.0169731618825553,0.00378273264757346,-0.0170212920511048
"2102","2015-04-01",0.00980387045007038,0.00644299702066359,0.00231568110476297
"2103","2015-04-02",0.0103950327438156,0.0362225591181977,0.0266717083784848
"2104","2015-04-06",0.00619836035100542,0.00180783734320213,0.0148038171939744
